RequestId,69bd9827620f00a58b1a07d2
X,HFCT
209685,3.704212427
209820,3.533782959
209955,3.445982218
210090,3.345743656
210225,3.377107382
210360,3.342307568
210495,3.395134926
210630,3.330735683
210765,3.152331591
210900,3.007651091
211035,2.965820313
211170,3.034038305
211305,3.112053633
211440,2.915891647
211575,2.890115499
211710,2.829069138
211845,2.792170286
211980,2.706697226
212115,2.665727139
212250,2.57091856
212385,2.611005545
212520,2.414386272
212655,2.432080507
212790,2.35325861
212925,2.220360756
213060,2.316058159
213195,2.139531851
213330,2.115481138
213465,2.093163252
213600,2.17655611
213735,2.03406024
213870,2.004017353
214005,1.964758396
214140,1.951860547
214275,1.839729786
214410,1.954482436
214545,1.859626293
214680,1.854795575
214815,1.785040975
214950,1.707255721
215085,1.669313669
215220,1.633177161
215355,1.674471378
215490,1.625329018
215625,1.606764555
215760,1.612006426
215895,1.554500818
216030,1.629212976
216165,1.618262887
216300,1.612802744
216435,1.614446044
216570,1.6094414
216705,1.510040879
216840,1.470697522
216975,1.561157584
217110,1.623965144
217245,1.581934333
217380,1.520431042
217515,1.464975357
217650,1.551420927
217785,1.516331553
217920,1.513479948
218055,1.52483952
218190,1.505421042
218325,1.491458893
218460,1.444524527
218595,1.47657156
218730,1.5061481
218865,1.481187105
219000,1.534349084
219135,1.578794241
219270,1.560649872
219405,1.50392735
219540,1.445275664
219675,1.502268553
219810,1.497969866
219945,1.527996778
220080,1.458883524
220215,1.513433814
220350,1.509464622
220485,1.440165401
220620,1.483195186
220755,1.489445925
220890,1.495498896
221025,1.502712131
221160,1.489545345
221295,1.541213274
221430,1.474325061
221565,1.527283549
221700,1.500132084
221835,1.459593058
221970,1.442329884
222105,1.469953656
222240,1.476195335
222375,1.503762603
222510,1.455161214
222645,1.465210795
222780,1.460272074
222915,1.4651407
223050,1.444017887
223185,1.523338079
223320,1.436065555
223455,1.492129803
223590,1.436587214
223725,1.497949362
223860,1.447692394
223995,1.436144114
224130,1.451741815
224265,1.460005999
224400,1.421748638
224535,1.517813802
224670,1.439937353
224805,1.506899118
224940,1.465417504
225075,1.397286415
225210,1.42104733
225345,1.482319832
