feature,source,mean_ON,mean_OFF,cohen_d,abs_d,AUC,AUC_abs,MW_p,r_pointbiserial,KS_stat,KS_p,MW_p_BH,significant
B4 B2 ratio,original,35.05869255319149,8.110790476190475,0.13382601470574923,0.13382601470574923,0.24556737588652483,0.7544326241134751,1.4799990368910227e-11,0.061938135455532436,0.4642857142857143,7.152962254365425e-12,5.697996292030437e-10,True
curvature_B3,new,0.7613137945616102,0.9344474671297094,-0.13284061788314774,0.13284061788314774,0.4953774062816616,0.5046225937183384,0.903725508797699,-0.06148379878547644,0.16261398176291794,0.08120399462430983,0.927824855698971,False
slope_diff_B2_B3,new,1.9482242780952208,1.6905077844775223,0.1171357625512775,0.1171357625512775,0.5346377912867275,0.5346377912867275,0.3618942407243061,0.054237793212959615,0.12234042553191489,0.3180560190975583,0.43540400837143073,False
cv_B2,new,2.798904464554521,2.9655114254817656,-0.11585878152486392,0.11585878152486392,0.5321048632218844,0.5321048632218844,0.3980957812195711,-0.05364821924658114,0.16134751773049646,0.08528353548159853,0.45751306199861164,False
entropy_B4,new,0.890510112069814,0.898460447227225,-0.1123113179507092,0.1123113179507092,0.500886524822695,0.500886524822695,0.9820308210713323,-0.052010085532229286,0.17097264437689969,0.058245620650407275,0.9820308210713323,False
log hi lo,original,0.3226792553191489,0.2306202380952381,0.10899002147763588,0.10899002147763588,0.38171225937183384,0.6182877406281662,0.0008156151252865242,0.05047600934317546,0.3130699088145897,1.5117533199872436e-05,0.0014654049311752073,True
log B4 B1,original,0.326986170212766,0.232722619047619,0.10427733294048531,0.10427733294048531,0.3553381458966565,0.6446618541033435,3.062135858946195e-05,0.04829865138674742,0.3662613981762918,1.8374519343010135e-07,8.488721125701397e-05,True
log B2 B1,original,0.1289617021276596,0.10498452380952379,0.10173431665960728,0.10173431665960728,0.5767477203647415,0.5767477203647415,0.04241105605658917,0.04712343808855668,0.17401215805471124,0.051375368430932974,0.06047502437698826,False
peak_ratio_B1,new,10.697856090247901,11.935045881829236,-0.08886486533394793,0.08886486533394793,0.28007852077001016,0.7199214792299898,6.897668594910988e-09,-0.041173131040083015,0.41185410334346506,2.3088264642148373e-09,6.639006022601826e-08,True
ssn_B4,new,-0.10308510964902591,-0.11248846394528692,0.0783818037168687,0.0783818037168687,0.5092451874366768,0.5092451874366768,0.8082013185620539,0.03632292414259785,0.17553191489361702,0.04822021325754496,0.8409662368821372,False
slope_loglog_B4,new,-1.478989896540479,-1.4040537419597614,-0.04388996779520845,0.04388996779520845,0.4694782168186424,0.5305217831813576,0.4217910492143604,-0.020348273524467178,0.20339412360688958,0.013691721370629677,0.4706943592681993,False
trans_B1_B2,new,-0.1938135292210591,-0.21630358437498426,0.029911152905496625,0.029911152905496625,0.46878166160081053,0.5312183383991895,0.4112648191449665,0.013868951031642443,0.1770516717325228,0.045244624479101075,0.46569692756121206,False
spectral kurtosis,original,88.59899095744682,83.59164761904763,0.026758627988124555,0.026758627988124555,0.3414070415400203,0.6585929584599797,2.946162926138676e-05,0.012407453152930278,0.3761398176291793,7.51203547625453e-08,8.488721125701397e-05,True
cv_B4,new,1.6294029953159752,1.6491292565815523,-0.020988618236035587,0.020988618236035587,0.46599544072948335,0.5340045592705167,0.3707454333030117,-0.009732300570927267,0.1828774062816616,0.03524644737098122,0.43919074406664466,False
B2 B1 ratio,original,0.17316702127659575,0.18361904761904763,-0.019731419547384884,0.019731419547384884,0.577475937183384,0.577475937183384,0.04048615244332093,-0.00914939518436041,0.17401215805471124,0.051375368430932974,0.05881950449312664,False
slope_r2_B1,new,0.44416104848848886,0.44253210903920986,0.0055687587886088874,0.0055687587886088874,0.5015197568389057,0.5015197568389057,0.9687256906490851,0.002582314848542891,0.0977710233029382,0.5933339639738614,0.9814720813155204,False
